1	2	3	4	5	6	7	8	9
LIBR	16320	40.65N	17.95E	10	19960700	99999999	BRINDISI/CASALE AFB	IT
LICT	16429	37.92N	12.50E	14	19950900	99999999	TRAPANI/BIRGI (AFB)	IT
LIED	16546	39.35N	8.97E	28	20110101	99999999	DECIMOMANNU	IY
LIEE	16560	39.25N	9.05E	7	19951000	99999999	CAGLIARI/ELMAS(AFB)	IT
LGTS	16622	40.52N	22.97E	4	19920400	99999999	THESSALONIKI/MIKRA	GR
LGAT	16716	37.90N	23.73E	14	19920500	99999999	ATHENS/HELLENKION	GR
LGIR	16754	35.33N	25.18E	39	19951100	99999999	IRAKLION (CIV/AFB)	GR
9999	17030	41.28N	36.33E	4	0	99999999	SAMSUN CITY	TR
9999	17062	40.97N	29.08E	33	19920300	99999999	ISTANBUL/GOZTEPE	TR
9999	17064	40.90N	29.15E	18	20140000	99999999	ISTANBUL BOLGE (KARTAL)	TR
9999	17067	40.72N	29.82E	18	0	20009999	GOLCUK/DUMLUPINAR	TR
9999	17068	40.73N	30.08E	70	0	20009999	CENGIZTOPEL	TR
9999	17095	39.90N	41.28E	1952	20070100	99999999	ERZURUM BOLGE	TR
9999	17130	39.95N	32.88E	894	19910300	99999999	ANKARA/CENTRAL	TR
LTAM	17196	38.69N	35.50E	1094	20160000	99999999	KAYSERI CITY	TR
9999	17220	38.43N	27.17E	25	19910200	99999999	IZMIR	TR
LTBM	17240	37.75N	30.55E	997	19900400	99999999	ISPARTA	TR
LTCC	17280	37.88N	40.18E	677	0	20050831	DIYARBAKIR(CIV/AFB)	TR
LTCC	17281	37.88N	40.18E	677	20050901	99999999	DIYARBAKIR(CIV/AFB)	TR
9999	17351	37.05N	35.35E	28	19940900	99999999	ADANA	TR
LTAF	17352	36.98N	35.30E	20	19920300	99999999	ADANA/SAKIRPASA	TR
9999	17600	34.72N	32.48E	11	20110101	99999999	PAPHOS	CY
LCRA	17601	34.58N	32.98E	23	19920400	99999999	AKROTIRI (RAF)	CY
LCNC	17607	35.15N	33.40E	161	19900100	99999999	NICOSIA/ATHALASSA	CY
9999	17609	34.88N	33.63E	2	20110101	99999999	LARNACA	CY
9999	20046	80.62N	58.05E	22	20080000	99999999	POLARGMO	RU
9999	20292	77.72N	104.30E	15	20080000	99999999	FEDOROVA	RU
9999	20674	73.53N	80.40E	47	19911000	99999999	DIKSON ISLAND	RU
9999	20744	72.38N	52.73E	16	19911000	99999999	MALYE KARMAKULY	RU
9999	20891	72.00N	102.45E	33	19911000	99999999	HATANGA	RU
9999	20892	72.00N	102.57E	26	20120000	99999999	HATANGA	RU
9999	21432	76.00N	137.90E	10	19910300	20019999	KOTEL'NYJ ISLAND	RU
9999	21432	76.00N	137.90E	10	20100000	99999999	KOTEL'NYJ ISLAND	RU
9999	21824	71.58N	128.92E	8	0	99999999	TIKSI	RU
9999	21946	70.62N	147.90E	61	19930200	99999999	COKURDAH	RU
9999	21982	70.98N	178.48W	3	19911000	99999999	VRANGELJA ISLAND	RU
9999	22008	68.98N	33.12E	121	20180000	99999999	MURMANSK	RU
ULMM	22113	68.97N	33.05E	51	19970500	99999999	MURMANSK	RU
9999	22217	67.15N	32.35E	26	19941200	99999999	KANDALAKSA	RU
9999	22271	67.88N	44.13E	16	19900800	99999999	SOJNA	RU
9999	22522	64.98N	34.80E	10	19911000	99999999	KEM (PORT)	RU
9999	22543	64.62N	40.51E	6	20110101	99999999	ARHANGEL'SK	RS
ULAA	22550	64.53N	40.58E	5	19970500	99999999	ARHANGEL'SK	RU
9999	22820	61.82N	34.27E	109	19910500	99999999	PETROZAVODSK	RU
9999	22845	61.50N	38.93E	121	19901100	99999999	KARGOPOL'	RU
9999	23022	69.77N	61.68E	53	19970300	20009999	AMDERMA	RU
9999	23078	69.33N	88.10E	62	20080000	99999999	NORILSK	RU
9999	23205	67.65N	53.02E	7	19910500	99999999	NAR'JAN-MAR	RU
9999	23330	66.53N	66.53E	16	19910500	99999999	SALEHARD	RU
9999	23415	65.11N	57.10E	58	20120000	99999999	PECORA	RU
9999	23418	65.12N	57.10E	56	19900800	99999999	PECORA	RU
9999	23472	65.78N	87.95E	32	0	99999999	TURUHANSK	RU
9999	23552	64.92N	77.82E	27	19910400	20009999	TARKO-SALE	RU
UUYY	23802	61.67N	50.78E	117	20120000	99999999	SYKTYVKAR	RU
UUYY	23804	61.72N	50.83E	119	19970500	99999999	SYKTYVKAR	RU
9999	23884	61.60N	90.00E	63	19900800	99999999	BOR	RU
9999	23921	60.68N	60.43E	101	19900800	99999999	IVDEL'	RU
USHH	23933	60.97N	69.07E	40	0	99999999	HANTY-MANSIJSK	RU
9999	23955	60.43N	77.87E	47	19910400	99999999	ALEKSANDROVSKOE	RU
9999	24122	68.50N	112.43E	220	20180000	99999999	OLENEK	RU
9999	24125	68.50N	112.43E	220	19911000	99999999	OLENEK	RU
9999	24266	67.55N	133.38E	137	0	99999999	VERHOJANSK	RU
9999	24343	66.77N	123.40E	93	19910500	99999999	ZIGANSK	RU
9999	24507	64.27N	100.23E	186	19911000	99999999	TURA	RU
9999	24641	63.77N	121.62E	107	19910400	99999999	VILJUJSK	RU
9999	24688	63.27N	143.15E	745	19910400	99999999	OJMJAKON	RU
9999	24726	62.55N	113.88E	347	19970100	99999999	MIRNY	RU
9999	24908	60.33N	102.27E	260	19900800	99999999	VANAVARA	RU
9999	24944	60.40N	120.42E	226	19900800	99999999	OLEKMINSK	RU
9999	24947	60.37N	120.42E	226	20180000	99999999	OLEKMINSK	RU
UEEE	24959	62.08N	129.75E	103	0	99999999	YAKUTSK AIRPORT	RU
9999	25123	68.80N	161.28E	32	19910500	99999999	CERSKIJ	RU
9999	25173	68.92N	179.48E	7	0	20009999	CAPE SMIDTA	RU
9999	25399	66.17N	169.83W	7	0	20009999	CAPE UELEN	RU
9999	25400	65.73N	150.90E	43	19900800	99999999	ZYRJANKA	RU
9999	25403	65.73N	150.90E	43	20180000	99999999	ZYRJANKA	RU
9999	25428	65.23N	160.50E	265	19950600	99999999	SCERBAKOVO	RU
UHMA	25563	64.78N	177.57E	62	19920700	99999999	ANADYR'	RU
9999	25703	62.92N	152.42E	207	19910400	99999999	SEJMCAN	RU
UHMM	25913	59.58N	150.78E	118	19910800	99999999	MAGADAN	RU
9999	25954	60.35N	166.00E	3	19900800	99999999	KORF	RU
ULTT	26038	59.45N	24.80E	44	0	99999999	TALLIN	RU
ULLI	26063	59.97N	30.30E	72	0	99999999	ST. PETERBURG	RU
9999	26075	59.95N	30.70E	72	20180000	99999999	ST. PETERSBURG	RU
9999	26258	57.80N	28.42E	42	19951000	20009999	PSKOV	RU
9999	26298	57.90N	34.05E	178	19901200	99999999	BOLOGOE	RU
UMRR	26422	56.97N	24.07E	7	0	99999999	RIGA	RU
9999	26435	56.65N	25.13E	83	20180102	99999999	LVA SKRIVERI	LE
9999	26441	56.88N	26.33E	251	0	20009999	MADONA	BY
ULOL	26477	56.38N	30.60E	98	19970500	99999999	VELIKIE LUKI	RU
9999	26629	54.88N	23.88E	75	19901200	99999999	KAUNAS	BY
9999	26702	54.70N	20.62E	21	19910800	99999999	KALININGRAD	BY
9999	26781	54.75N	32.07E	241	19910800	99999999	SMOLENSK	RU
UMMS	26850	53.87N	27.53E	231	19901200	20009999	MINSK	BY
ULWW	27037	59.23N	39.87E	131	19970500	99999999	VOLOGDA	RU
ULWW	27038	59.32N	39.93E	130	20110101	99999999	VOLDOGA	RS
9999	27199	58.60N	49.63E	158	19940900	99999999	KIROV	RU
9999	27459	56.27N	44.00E	157	19940900	99999999	NIZNIJ NOVGOROD	RU
9999	27594	55.81N	48.50E	116	19910500	99999999	KAZAN (VYAZOVYE)	RU
9999	27595	55.78N	49.18E	116	19910500	99999999	KAZAN	RU
9999	27612	55.75N	37.57E	156	19911000	99999999	MOSCOW	RU
9999	27707	54.12N	35.33E	239	19910500	99999999	SUHINICI	RU
UUDD	27713	55.40N	37.90E	179	20180000	99999999	MOSCOW POLGOPRUDNYJ	RU
9999	27730	54.63N	39.70E	158	19940900	99999999	RJAZAN'	RU
UWPP	27962	53.13N	45.02E	174	19901200	99999999	PENZA	RU
9999	27995	52.98N	49.43E	45	19940900	99999999	BEZENCUKSKAJA	RU
9999	28225	57.95N	56.20E	170	19951000	99999999	PERM	RU
9999	28275	58.15N	68.18E	44	0	99999999	TOBOLSK	RU
9999	28445	56.73N	61.07E	290	19950900	99999999	VERHNEE DUBROVO	RU
9999	28601	55.35N	50.62E	113	19911000	20009999	CISTOPOL	RU
9999	28661	55.47N	65.40E	79	19910400	99999999	KURGAN	RU
9999	28695	54.93N	73.40E	122	20180000	99999999	OMSK	RU
UNDD	28698	54.93N	73.40E	123	19910500	99999999	OMSK	RU
9999	28722	54.75N	56.00E	105	19950500	99999999	UFA	RU
9999	28951	59.32N	63.62E	171	20110101	99999999	KOSTANAI	RA
9999	28952	53.22N	63.62E	156	19910500	99999999	KUSTANAJ	RU
9999	29231	58.30N	82.90E	76	19911000	99999999	KOLPASEV	RU
9999	29263	58.45N	92.15E	78	0	99999999	YENISEYSK	RU
9999	29282	58.42N	97.40E	134	19900800	99999999	BOGUCANY	RU
9999	29572	56.18N	92.62E	296	19941100	99999999	EMEL'JANOVO	RU
9999	29612	55.37N	78.37E	120	19911000	99999999	BARABINSK	RU
UNNN	29634	55.03N	82.90E	176	0	99999999	NOVOSIBIRSK	RU
UINN	29698	54.88N	99.03E	410	19970300	99999999	NIZNE-UDINSK	RU
9999	29839	53.35N	83.82E	159	0	99999999	BARNAUL	RU
9999	29862	53.77N	91.32E	256	19960700	99999999	HAKASSKATA	RU
9999	30054	59.45N	112.58E	193	19900800	99999999	VITIM	RU
UIKK	30230	57.77N	108.12E	258	19930800	99999999	KIRENSK	RU
9999	30309	56.07N	101.83E	489	19970300	99999999	BRATSK	RU
9999	30372	56.92N	118.37E	711	0	99999999	CARA	RU
UIUB	30554	54.47N	113.13E	995	19911000	99999999	BOGDARIN	RU
9999	30557	54.47N	113.58E	995	20180000	99999999	BOGDARIN	RU
9999	30635	53.42N	109.02E	457	19911000	99999999	UST-BARGUZIN	RU
9999	30673	53.73N	119.78E	619	0	99999999	MOGOCA	RU
9999	30715	52.48N	103.85E	450	19970300	99999999	ANGARSK	RU
9999	30758	52.02N	113.33E	685	0	99999999	CHITA	RU
9999	30935	50.37N	108.75E	770	19900800	99999999	KRASNYJ CIKOJ	RU
9999	30965	50.38N	116.52E	684	0	99999999	BORZJA	RU
9999	31004	58.62N	125.37E	682	0	99999999	ALDAN	RU
9999	31088	59.37N	143.20E	6	19910400	99999999	OHOTSK	RU
9999	31168	56.45N	138.15E	9	0	99999999	AJAN	RU
9999	31300	53.75N	127.23E	232	0	99999999	ZEJA	RU
9999	31369	53.15N	140.70E	68	0	99999999	NIKOLAEVSK-ON-AM	RU
9999	31510	50.27N	127.50E	137	19911000	99999999	BLAGOVESCENSK	RU
9999	31538	50.07N	132.13E	349	19910500	99999999	SUTUR	RU
9999	31736	48.53N	135.23E	72	19950400	99999999	HABAROVSK	RU
9999	31770	48.97N	140.30E	22	20080000	99999999	SOVETSKAJA GAVAN	RA
9999	31873	45.87N	133.73E	107	0	99999999	DAL'NERECENSK	RU
9999	31977	43.27N	132.05E	82	19950600	99999999	SAD-GOROD	RU
9999	32061	50.90N	142.17E	31	0	99999999	ALEKSANDROVSK-SAHALINSKIJ	RU
9999	32098	49.22N	143.10E	4	19940700	99999999	PORONAJSK	RU
UHSS	32150	46.92N	142.73E	31	19920500	99999999	JUZNO-SAHALINSK	RU
9999	32215	50.68N	156.13E	23	19940900	99999999	SEVERO-KURILSK	RU
9999	32389	56.32N	160.83E	28	19911000	99999999	KLJUCI	RU
9999	32477	54.30N	155.97E	25	20110101	99999999	SOBOLEVO	RA
UHPP	32540	52.97N	158.75E	24	19911000	99999999	PETROPAVLOVSK-KAMCHATSKIJ	RU
9999	32618	55.20N	165.98E	14	20110101	99999999	OSTROV BERINGA	RA
UMBB	33008	52.12N	23.68E	144	0	99999999	BREST	BY
9999	33041	52.45N	31.00E	127	19941200	99999999	GOMEL'	BY
9999	33317	50.17N	27.05E	278	19910500	99999999	SEPETOVKA	UA
UKKK	33345	50.40N	30.45E	167	19970500	99999999	KIEV/ZHULYANY	UA
UKLL	33393	49.82N	23.95E	325	19950300	99999999	L'VIV	UA
9999	33631	48.63N	22.27E	118	0	99999999	UZGOROD	UA
9999	33658	48.37N	25.90E	246	19950300	99999999	CHERNIVTSI	UA
9999	33663	48.45N	27.78E	79	0	20009999	MOGILEV-PODOL'SKIJ	UA
UKDR	33791	47.92N	33.22E	100	19950700	99999999	LOZUVATKA	UA   
UKII	33815	47.02N	28.87E	173	0	99999999	KISHINEV	RU
UKOO	33837	46.43N	30.77E	43	19950300	99999999	ODESSA/TSENTRALNY	UA
UKFF	33946	45.02N	33.98E	187	19970500	99999999	SIMFEROPOL'	UA
9999	33966	45.05N	34.60E	183	19970100	99999999	KRYMSKAYA	UA
9999	34009	51.77N	36.17E	247	19961200	99999999	KURSK	RU
UUOO	34122	51.67N	39.27E	104	19970500	99999999	VORONEZ	RU
UWSS	34172	51.57N	46.05E	156	0	99999999	SARATOV	RU
9999	34247	50.42N	41.05E	93	19900800	99999999	KALAC	RU
9999	34300	49.93N	36.28E	152	0	99999999	KHARKOV	RU
URWW	34560	48.68N	44.35E	145	19970500	99999999	VOLGOGRAD	RU
URWW	34467	48.58N	44.35E	141	20120000	99999999	VOLGOGRAD	RU
URRR	34731	47.25N	39.82E	77	19970500	99999999	ROSTOV-NA-DONU	RU
9999	34858	45.92N	43.35E	87	19910100	99999999	DIVNOE	RU
9999	34880	46.27N	48.03E	-18	19941200	99999999	ASTRAHAN'	RU
9999	34882	46.27N	47.98E	-17	20120000	99999999	ASTRAHAN'	RU
9999	35121	51.78N	55.22E	109	19911000	99999999	ORENBURG	RU
UATT	35229	50.28N	57.15E	224	19970500	99999999	AKTJUBINSK	RU
9999	35394	49.80N	73.13E	553	19870100	99999999	KARAGANDA	RU
